idembarcaciones,nombre,tipo,marca,modelo,eslora,manga,puntal,motores,serie_motores,num_matricula,fecha_ingreso,contrato,contrato_fecha,contrato_path,reglamento,reglamento_path,matricula,matricula_path,seguro,seguro_fecha,seguro_path,baja,baja_fecha
1,MOTO TENAZ,MO,,,3,,,,,REY 059804,,0,,,,,0,,0,,,0,
2,SUNDANCER,G,CANESTRARI,2400,7.95,2.6,1.55,MERCRUISER,2A451094,,2018-10-01,1,2018-10-01,,,,0,,0,,,1,2019-12-27
3,IRKA II,G,REGNICOLI,,5.69,2.33,1.1,YAMAHA 150HP,63P-1075512,REY 049433,2015-07-01,1,2015-07-03,,,,1,,0,2015-09-16,,0,
4,COBRA,G,BERMUDA,,5,2.04,0.89,VOLVO PENTA 3.0GL,4012103544,REY 036682,2014-08-01,1,2014-08-06,,,,1,,0,,,0,
5,OSIRIS,M2,PRINCESS,55,16.48,4.27,1.9,MAN,4338847053A301 / 4338847053A301,REY031016,2019-11-01,1,2019-10-24,,,,0,,0,2020-06-29,,1,2019-12-27
6,RENU,G,CANESTRARI,245,7.4,,,,,E/T,2019-12-01,1,2019-11-25,,,,0,,0,,,1,2019-12-26
7,BEETHOVEN,M2,SEGUE,46,14.5,4.25,2.3,FPT,1415732 / 1415760,081638REY,2019-10-01,1,2019-09-25,,,,0,,0,,,1,2019-12-04
8,GOMON - TENAZ,G,ZODIAC,CHEROKEE,4.9,,,-,-,REY 059804,,0,,,,,0,,0,,,1,2019-11-30
9,URKO,M1,FORWINS,258,7.72,,,,,REY 030263,,0,,,,,0,,0,,,1,2019-11-30
10,EKA,G,BORDIGA,,4.72,1.97,0.67,EVINRUDE 100HP,,TIGR 0376,2014-10-01,1,2014-09-27,,,,1,,0,2017-12-15,,0,
11,MARACAS,G,CHRIS CRAFT,17',5.25,1.8,0.9,K.A. 95,,REY 07230,,0,,,,,1,,0,,,0,
12,EXIMIA-,G,QUICK SILVER,,5.98,2.45,1.17,VOLVO PENTA 5.0HP,4012134757,REY 037836,2007-11-01,1,2007-11-01,,,,0,,0,2013-07-25,,1,2020-11-25
13,RICA NENA,G,QUICK SILVER,,5.98,2.45,1.17,EVINRUDE 150HP,5192386,REY 044485,,0,,,,,1,,0,2013-04-16,,0,
14,PAMPA,G,CHRIS CRAFT,,5.64,2.44,1,VOLVO PENTA 4.3GL,1306691,REY 029736,,0,,,,,1,,0,,,0,
15,TSONKY,G,MOBIUS,MOOMBA,7.5,2.29,1.17,MERCRUISER,0F066022,REY 077937,2014-12-01,1,2014-12-18,,,,0,,0,,,1,2020-10-30
16,CATIRA,G,AVALON,X3,5.4,,,MERCURY 115HP,,REY 049434,,0,,,,,0,,0,,,1,2020-10-31
17,LUNANEGRA II,G,CANESTRARI,245,7.65,2.6,1.55,YAMAHA 300HP,,REY 073146,,0,,,,,0,,0,2020-07-28,,0,
18,BENDER,G,LARSON,,5.8,2.39,0.9,VOLVO PENTA 5.8FJ,,REY 032357,2013-04-01,1,2013-04-05,,,,1,,0,2013-12-14,,0,
19,BUENA ONDA,M2,KLASE A,32,10.1,3.05,1.48,VOLVO PENTA AD41P,V-2041065642,REY 038624,,0,,,,,0,,0,,,1,2019-11-30
20,ORNELLA,G,CROWNLINE,,6.15,2.59,1.17,VOLVO PENTA 5.7GS,,REY 035134,2018-07-01,1,2018-07-13,,,,0,,0,,,0,
21,SUEÑO MIO,MO,KAWASAKI,STX-15F,3.2,1.18,0.4,KAWASAKI,,SFER 01151,2018-07-01,1,2018-07-13,,,,1,,0,,,0,
22,LITTLE FREEDOM,G,MONTEREY,,5.97,2.51,1.24,VOLVO PENTA 5.0GXI,A171844,REY 049238,2016-04-01,1,2016-04-01,,,,0,,0,,,0,
23,BUBY,G,SEA RAY,SPORT190,5.44,2.21,1.18,MERCURY 4.3HP,2A048633,3593/13,2014-09-01,1,2014-08-22,,,,0,,0,,,0,
24,VIDA PURA,G,BAYLINER,CIERA,7.12,2.59,1.25,MERCRUISER 350HP,1A341624,REY 027935,2014-05-01,1,2014-04-27,,,,1,,0,2014-11-27,,0,
25,MAREA BAJA,M2,CUSTON,48,14.63,,,,,REY 050657,,0,,,,,0,,0,,,1,2019-11-30
26,CHILLEN,M3,EGEO,72,21,5.25,2.8,MAN,EB-64022818032286 / EB-64022748252269,REY 052993,2017-05-01,1,2017-05-16,,,,0,,0,,,1,2021-01-31
27,PIERO,G,SEA RAY,,6.69,2.59,1.48,MERCURY 250HP,,REY 079339,2017-05-01,1,2017-05-04,,,,0,,0,2017-12-19,,1,2021-01-31
28,CARTAGENA II_,G,QUICK SILVER,2400,7.32,2.59,1.58,VOLVO PENTA 270V8,A214801,REY 061920,2014-05-01,1,2014-04-26,,,,1,,0,,,1,2021-07-31
29,LIBERTY,G,BERMUDA,SPORT 180,5.2,2.1,0.93,MERCURY 90HP,1B915900,REY 061401 - E/T,2014-12-01,1,2014-12-03,,,,0,,0,,,0,
30,SNOOPY,M2,BERTRAM,42,12.8,,,,,,,0,,,,,0,,0,,,1,2019-11-30
31,ROSALES,G,BERMUDA,TWENTY ONE,5.85,2.45,1.19,VOLVO PENTA 225HP,A194331,OLIV 4660/14,2014-12-01,1,2014-12-13,,,,0,,0,,,0,
32,VICENZO,G,CANESTRARI,,6.5,2.56,1.45,"MERCRUISER 4.3,MPI 220HP",2A188957,REY 070693,2015-05-01,1,2015-04-22,,,,1,,0,,,0,
33,LADY M,G,MASTER CRAFT,,6.49,2.5,1.25,ILMOR 382HP,5305,REY 068277,2015-06-01,1,2015-06-01,,,,1,,0,2016-03-21,,0,
34,LUNA PLATEADA,G,GUEMBE,,5.45,2.07,1.08,YAMAHA 115HP,,REY 037066,2012-04-01,1,2012-04-01,,,,1,,0,,,0,
35,ATIA,G,CANESTRARI,215,6.5,,,VOLVO PENTA 270V8,,REY 073850,2015-06-01,1,2015-06-19,,,,0,,0,,,0,
36,QUARTZ,G,CANESTRARI,,7.15,2.55,1.67,MERCRUISER 5.0MPI 260HP,1A051193,REY 044565,2016-01-01,1,2016-01-09,,,,0,,0,2017-01-25,,0,
37,BIG DADDY,G,BERMUDA,,5.84,2.45,1.19,VOLVO PENTA 225HP,A380122,SFER6021/15,2015-09-01,1,2015-09-11,,,,0,,0,,,0,
38,BAMBEL & BAMBEL,G,QUICK SILVER,2400,7.32,2.59,1.58,MERCRUISER 5.0MPI 260HP,1A622833,REY 054507,2015-11-01,1,2015-10-23,,,,0,,0,2020-11-03,,0,
39,HAKUNA MATATA (MAXUM),G,MAXUM,,5.8,2.41,1.05,MERCRUISER 4.3EFI,0L606694 1,REY 031889,2015-05-01,1,2015-05-16,,,,1,,0,2020-11-03,,0,
40,COCO,G,SCARAB,,4.2,,,ROTAX 4TEC,,,,0,,,,,0,,0,,,1,2019-11-30
41,MANAIA,G,CROSS OVER,225,6.85,,,VOLVO PENTA 300 V8,,-,2016-05-01,1,2016-04-22,,,,0,,0,,,0,
42,TURMA,G,BERMUDA,SPORT 180,5.85,,,EVINRUDE 200HP,,REY045754,2014-11-01,1,2014-11-13,,,,0,,1,2021-12-04,,0,
43,MALOTAS,G,QUICK SILVER,2400,7.32,,,MERCRUISER 5.0MPI,,REY 050644,2017-11-01,1,2017-11-19,,,,0,,0,,,0,
44,DRIFTER,G,QUEST,25,7.62,2.42,1.69,MERCRUISER 260HP,2A014452,REY 060333,2019-02-01,1,2019-01-23,,,,1,,0,,,0,
45,SHANTI,G,ARCO IRIS,CUDDY 22,6.55,2.57,1.36,VOLVO PENTA 225HP,A192197,REY 060411,2015-05-01,1,2015-05-09,,,,1,,0,2017-08-14,,0,
46,TRIFULKA,G,EVISON,"20,5",6,2.3,1.16,EVINRUDE 200HP,5202887,REY 045568,2015-06-01,1,2015-05-22,,,,1,,0,,,0,
47,LOS PIRATAS,G,,,4.23,1.82,0.67,MERCURY,0G070434,SISI 0557,2014-08-01,1,2014-07-24,,,,1,,0,2015-01-11,,0,
48,HAKUNA MATATA (BERMUDA),G,BERMUDA,,5.85,2.45,1.19,VOLVO PENTA 4.3GXI 225HP,A122006,REY 051637,,0,,,,,1,,0,,,0,
49,MIKO'S,M2,ALTAMAR,,17.1,5.35,3,VOLVO PENTA,,REY 066857,2019-01-01,1,2019-01-01,,,,0,,0,,,1,2019-11-30
50,VITA,M2,,,14.5,4.25,2.3,PFT 444HP,1414123 / 1413565,082647REY,,0,,,,,1,,0,2019-11-14,,0,
51,PURA VIDA,G,QUICK SILVER,2400,7.32,2.59,1.58,MERCRUISER 260HP,2a044044,REY 063735,,0,,,,,1,,0,2017-06-30,,0,
52,BUENAVENTURA,M2,CHRIS CRAFT,,10.1,3.8,1.2,NISSAN 175HP,F06-011872T / F06-035258T,E/T,2019-10-01,1,2019-09-23,,,,0,,0,2020-07-01,,1,2019-11-30
53,EIVISSA,M3,LARSON,,32,,,,,REY 70449,,0,,,,,0,,0,,,1,2019-10-30
54,SEVERINO,M2,BENETAV,41,12.5,,,,,REY 044546,,0,,,,,0,,0,,,1,2019-09-30
55,JUANITOS,G,EVINSON,205,6.13,2.3,1.16,EVINRUDE 200 HP,05202863-1,047997REY,,0,,,,,0,,0,,,1,2019-01-01
56,TIEMPO LIBRE,G,MAREA,360,6.3,2.24,0.94,YAMAHA 115HP,68V-1087146,REY 044819,2015-05-01,1,2015-05-16,,,,0,,0,2012-01-18,,1,2020-10-30
57,LA CAPITANA_,G,QUICK SILVER,2400,7.32,2.59,1.08,VOLVO PENTA 225HP,A380131,SFER2159/15,2015-04-01,1,2015-04-16,,,,0,,0,2016-04-14,,1,2020-11-30
58,BLUE CHIP,G,BOYLIDER,2050,5.85,2.29,0.9,MERCRUISER 260HP,0K196412,REY 029276,2017-03-01,1,2017-03-04,,,,0,,0,2018-03-07,,0,
59,NAMASTE,G,QUICK SILVER,2400,7.32,2.59,1.58,MERCRUISER 260HP,1A627482,REY 056774,2014-07-01,1,2014-07-19,,,,0,,0,2018-04-10,,1,2020-08-31
60,CASTOR MARU,G,CANESTRARI,215,6.55,2.56,1.45,VOLVO PENTA 4.3 225HP,40122207014,REY 047102,,0,,,,,1,,0,,,0,
61,JUAN SEBASTIAN,M1,,,9.8,,,,,014795REY,2018-05-01,1,2018-04-25,,,,0,,0,,,0,
62,CHILLI PEPPER,G,SUBURBAN,,7.1,2.51,1.2,HONDA 150HP,,REY 070055,2009-05-01,1,2009-05-01,,,,0,,0,2015-12-18,,1,2020-03-01
63,HAWAI,G,QUICK SILVER,2400,7.32,2.59,1.58,MERCRUISER 5.0 260HP,1A632105,REY 055433,2017-08-01,1,2017-08-05,,,,1,,0,2017-11-18,,0,
64,MATRIX XXII,G,QUICK SILVER,2400,7.32,2.59,1.58,VOLVO PENTA 2.70HP,A266603,REY 040949,2020-02-01,1,2020-02-03,,,,0,,0,,,0,
65,JUANITA,G,MALIBU,,6.55,2.49,1.12,MONSOON 350HP,154306,REY 050329,2016-10-01,1,2016-09-23,,,,1,,0,,,0,
